P	V
0.023823448	278.40482
0.048544414	306.6784
0.073266685	351.8765
0.09986228	380.1538
0.124210484	404.6641
0.14893463	416.01038
0.17365709	444.28302
0.19875568	457.51093
0.2230291	480.51645
0.24940094	498.6374
0.27397382	524.2767
0.29884773	536.3756
0.3234206	562.01483
0.34979242	580.1358
0.3737662	602.76447
0.39953786	628.40674
0.4244103	655.55133
0.44898346	678.18146
0.4735562	705.3253
0.49992728	730.96906
0.5247997	758.11365
0.598518	838.04065
0.62578744	871.20953
0.6492603	908.1303
0.6722336	945.80206
0.6984521	998.5277
0.7246693	1065.0452
0.7591239	1174.2128
0.7800941	1263.2856
0.7898291	1315.97
0.79806435	1381.1885
0.8082949	1473.9958
0.81902367	1579.3425
0.82949644	1747.3789
0.83896077	2010.702
0.8481353	2676.4963
0.86057514	3155.4817
0.87680393	3205.6746
0.8997759	3255.8845
0.91551006	3257.1777
0.9257462	3293.5637
0.94872075	3318.6975
0.9649545	3318.7383
0.9746923	3343.8389
0.99217206	3371.4663
