p_rel	p_abs_kPA	Q_cm3_per_g_STP
0.001007203	0.102623781	2.459880312
0.002014009	0.205183242	3.006137253
0.003006753	0.306293356	3.342685355
0.004000842	0.407530552	3.59228101
0.00503204	0.512540811	3.798310705
0.006002693	0.611384163	3.960174039
0.007064107	0.719473138	4.101441988
0.008373669	0.852835589	4.264945181
0.009051634	0.921869972	4.343364897
0.01021843	1.04068684	4.461691833
0.030838421	3.140647953	5.645221796
0.050284985	5.121045596	6.254329441
0.070453141	7.174851067	6.72947011
0.100178378	10.20186825	7.298012414
0.124934208	12.72275731	7.702326705
0.150351985	15.31091888	8.076959354
0.1748864	17.80911286	8.410019531
0.199984842	20.36467517	8.733662529
0.225556322	22.96828653	9.048676922
0.250825189	25.54111631	9.348235204
0.276266277	28.13136207	9.643262763
0.301110807	30.66079331	9.926047424
0.326101891	33.20507929	10.20555753
0.374786429	38.16166134	10.75675718
0.400420155	40.77149777	11.03622539
0.425086202	43.28296581	11.3211281
0.47537022	48.40287065	11.9251086
0.500333219	50.94455267	12.2424481
0.525276723	53.48424105	12.57070177
0.550250435	56.02698093	12.91914836
0.575240706	58.57141338	13.28893658
0.600222591	61.11498328	13.68690672
0.625192948	63.65735291	14.11537615
0.650371249	66.22090408	14.57800215
0.675197062	68.74853696	15.08348329
0.700210464	71.29526008	15.65074809
0.725288735	73.84859887	16.27902622
0.776661886	79.07910255	17.87790507
0.800917123	81.54854522	18.82447661
0.810872175	82.56199564	19.27583518
0.820454279	83.53746903	19.73595855
0.830168526	84.52654807	20.23142738
0.839924981	85.51997246	20.79741908
0.850196112	86.56580141	21.45226499
0.860177924	87.58217314	22.15121599
0.862434031	87.81191504	22.33352169
0.864312914	88.00324864	22.48273065
0.866094614	88.18468721	22.62581112
0.868185762	88.39763361	22.78857896
0.870133979	88.59602229	22.9503425
0.872070959	88.79327174	23.11040153
0.874134371	89.00339448	23.28687065
0.876261958	89.22	23.46572254
0.878000094	89.39705523	23.62799885
0.880223981	89.62351778	23.84352279
0.8820967	89.8142248	24.03662237
0.884237867	90.03226519	24.24447589
0.88597488	90.20915498	24.41833415
0.888179341	90.43364015	24.64051788
0.890203982	90.63981627	24.84800023
0.892496785	90.8737896	25.1180384
0.895262532	91.15608253	25.44563438
0.897542221	91.3888027	25.73568801
0.900299627	91.67016798	26.0678455
0.902423734	91.88705286	26.34621325
0.905132402	92.16346248	26.70924381
0.907616071	92.41696546	27.0475527
0.90996819	92.65716386	27.42090502
0.912950323	92.96151716	27.85017196
0.914640258	93.13420807	28.15847612
0.918065754	93.48371554	28.71227751
0.919574724	93.638073	29.0343409
0.923188657	94.006866	29.70275859
0.92451032	94.14206813	29.99375051
0.927786532	94.47648081	30.69133453
0.929571638	94.65905861	31.1838118
0.932315949	94.9395776	32.00074981
0.934413095	95.15402127	32.84
0.936569014	95.37445404	33.86473194
0.939180553	95.64201836	35.84664308
0.941859046	95.91657267	38.40757937
0.944274553	96.16443646	41.03742879
0.94658953	96.4020716	43.78805781
0.949072015	96.65488289	46.79589684
0.95031874	96.78176051	48.82838801
0.951196593	96.87110865	50.13730281
0.952145399	96.9676909	51.25
0.953198364	97.07484357	52.98880217
0.954748246	97.23259431	55.19116169
0.955694767	97.32965666	57.19708827
0.956150269	97.376894	58.4426967
0.95749663	97.51551381	60.88856766
0.958653095	97.63512477	63.59122113
0.959483715	97.72122611	66.21249366
0.960252996	97.80036187	67.60641789
0.961077424	97.88188188	69.9168614
0.962352036	98.00099646	73.98424519
0.96353978	98.10980915	79.15999673
0.964447322	98.19292408	83.51577752
0.965578769	98.29917351	87.96890354
0.966313639	98.36663217	90.95815384
0.967519641	98.47420798	98.73067912
0.968778166	98.59342835	104.6391279
0.969579957	98.65022708	112.7078467
0.972221107	98.87767424	131.9278332
0.975377619	99.08170211	152.4006309
0.977943475	99.34013632	157.9565507
0.979793183	99.52513905	159.5002284
0.985658838	100.1190194	160.9798127
0.990635731	100.6237713	161.3060698
0.996708247	101.2396062	161.4922413
0.999045114	101.4759882	161.9129066
