# p_rel	p_abs_kPA	Q_cm3_per_g_STP	time
0.001010193	0.10287789	0.574488119	nan
0.002012848	0.204990854	0.718412303	nan
0.003024522	0.308025245	0.824802838	nan
0.004046072	0.412067381	0.914035444	nan
0.005040958	0.513394979	0.990318012	nan
0.006059839	0.617168041	1.061515535	nan
0.00708673	0.721756683	1.125435938	nan
0.008049068	0.819775239	1.18331417	nan
0.009075951	0.924366868	1.244669131	nan
0.010452168	1.064528587	1.299926044	nan
0.030074921	3.06304481	2.108451732	nan
0.051566714	5.251892206	2.790136211	nan
0.070501297	7.180267493	3.307270506	nan
0.100419117	10.22721611	4.00985922	nan
0.12547435	12.7788491	4.520243588	nan
0.150213414	15.29829479	4.965206646	nan
0.175109723	17.83374056	5.372141796	nan
0.199912758	20.35967884	5.741166584	nan
0.225172347	22.93201835	6.090350367	nan
0.249930629	25.45332851	6.412869476	nan
0.27518287	28.02491938	6.727322045	nan
0.301006978	30.65474929	7.034277236	nan
0.326370521	33.23762667	7.331633489	nan
0.374851986	38.17464449	7.893829176	nan
0.400307812	40.76684727	8.189590523	nan
0.425235131	43.30523774	8.483300946	nan
0.475248251	48.39946109	9.090905687	nan
0.500165174	50.9381974	9.412646195	nan
0.525335817	53.50268436	9.755283906	nan
0.550308353	56.04731211	10.11330372	nan
0.575050583	58.56860193	10.48993933	nan
0.600190051	61.13046866	10.89928865	nan
0.625175194	63.67673609	11.33330728	nan
0.650075684	66.21451625	11.80203013	nan
0.675064733	68.76140212	12.31588533	nan
0.69992751	71.29583783	12.88093845	nan
0.724926914	73.84404195	13.51974301	nan
0.774245525	78.87028992	15.04170975	nan
0.800269022	81.52344962	16.05238024	nan
0.810830161	82.60155945	16.51829282	nan
0.819832187	83.52056774	16.95645069	nan
0.829907589	84.54930011	17.4806169	nan
0.839792189	85.55864931	18.04613243	nan
0.849777845	86.57834921	18.68040492	nan
0.859717034	87.59337014	19.37325482	nan
0.861924777	87.81657775	19.55280818	nan
0.864341472	88.060381	19.7411877	nan
0.866140163	88.24120927	19.87811001	nan
0.868210129	88.44966385	20.04646217	nan
0.870333973	88.66400174	20.22532418	nan
0.872306227	88.86247993	20.39790427	nan
0.874225388	89.05553864	20.5687011	nan
0.8764566	89.28037372	20.76116014	nan
0.878204306	89.45594526	20.93525178	nan
0.880512762	89.68862475	21.14907377	nan
0.882266061	89.86515649	21.33212479	nan
0.884556689	90.09599694	21.55257755	nan
0.886364244	90.27762267	21.74699767	nan
0.888552284	90.49799034	21.98656734	nan
0.89042908	90.68664674	22.19335322	nan
0.893006389	90.94663519	22.48849686	nan
0.895443718	91.19193571	22.78314596	nan
0.898095431	91.45905248	23.12121599	nan
0.9007149	91.72328862	23.43973609	nan
0.902937118	91.9470577	23.74066631	nan
0.905768757	92.23266254	24.13137672	nan
0.907564426	92.4138814	24.41538207	nan
0.910391269	92.69981987	24.83550052	nan
0.912420013	92.90448244	25.16655165	nan
0.915419538	93.20798132	25.65010841	nan
0.917587433	93.42651808	26.05886235	nan
0.920411916	93.71189507	26.59856596	nan
0.922707114	93.9436469	27.07177699	nan
0.925351208	94.21063347	27.62852901	nan
0.927450007	94.42181407	28.20288861	nan
0.930158788	94.69508267	29.03317902	nan
0.932146239	94.89490353	29.96143224	nan
0.934943828	95.17466574	31.71790317	nan
0.937468793	95.42664703	33.66150032	nan
0.939664578	95.6471449	35.91367424	nan
0.942027545	95.88507298	38.5908265	nan
0.944427483	96.12661404	41.41622728	nan
0.946892727	96.37492538	44.32145098	nan
0.949601821	96.6468025	48.09439734	nan
0.95054658	96.74157826	49.28189955	nan
0.95177805	96.86699115	51.18573582	nan
0.952467557	96.93909624	52.20681113	nan
0.953119059	97.00733609	53.25930861	nan
0.954194416	97.12026628	55.28395542	nan
0.955367886	97.24338444	57.663519	nan
0.955968905	97.30649775	58.98711676	nan
0.956990579	97.41398405	61.7090979	nan
0.957951118	97.51544872	64.7269367	nan
0.958941786	97.62348022	67.9603176	nan
0.960250867	97.7705873	72.49726313	nan
0.960964879	97.85235956	75.53755125	nan
0.961821832	97.9496579	79.37756761	nan
0.962921062	98.07547766	84.66276439	nan
0.963603775	98.15506911	88.45838429	nan
0.965027376	98.32157564	97.09844558	nan
0.96594996	98.43243895	103.923455	nan
0.966554086	98.50613082	109.5622773	nan
0.967602039	98.63035566	117.872037	nan
0.969166549	98.78579538	130.0244897	nan
0.971729785	99.04234173	148.0331224	nan
0.985055523	100.3986189	155.7190006	nan
0.991809263	101.0871447	155.9073482	nan
0.997217473	101.6386783	156.018441	nan
