# p_rel	Q_cm3_per_g_STP	TOLERANCE	EQUILIBRATION	TIME	DUMMY
0.998651	148.642	2	3	nan	nan
0.992891	148.556	2	3	nan	nan
0.987789	148.487	2	3	nan	nan
0.982779	148.426	2	3	nan	nan
0.980295	148.396	2	3	nan	nan
0.975227	148.335	2	3	nan	nan
0.970353	148.276	2	3	nan	nan
0.960414	148.163	2	3	nan	nan
0.950484	148.018	2	3	nan	nan
0.948129	147.978	2	3	nan	nan
0.946311	147.946	2	3	nan	nan
0.944138	147.914	2	3	nan	nan
0.942295	147.869	2	3	nan	nan
0.940235	147.816	2	3	nan	nan
0.938188	147.748	2	3	nan	nan
0.936422	147.624	2	3	nan	nan
0.935247	147.432	2	3	nan	nan
0.934488	147.108	2	3	nan	nan
0.933936	142.704	2	3	nan	nan
0.93295	130.831	2	3	nan	nan
0.932241	122.607	2	3	nan	nan
0.93098	110.732	2	3	nan	nan
0.929677	102.053	2	3	nan	nan
0.92894	96.4437	2	3	nan	nan
0.927716	89.9982	2	3	nan	nan
0.926902	86.5383	2	3	nan	nan
0.925987	81.6756	2	3	nan	nan
0.924852	76.989	2	3	nan	nan
0.923513	73.6323	2	3	nan	nan
0.922739	70.4713	2	3	nan	nan
0.921391	66.785	2	3	nan	nan
0.920543	64.7538	2	3	nan	nan
0.918484	61.0171	2	3	nan	nan
0.91683	57.8023	2	3	nan	nan
0.914201	54.0729	2	3	nan	nan
0.912867	52.2509	2	3	nan	nan
0.910135	49.2213	2	3	nan	nan
0.908668	47.56	2	3	nan	nan
0.906912	46.0042	2	3	nan	nan
0.90465	44.0406	2	3	nan	nan
0.901956	41.8139	2	3	nan	nan
0.900348	40.7206	2	3	nan	nan
0.898463	39.6128	2	3	nan	nan
0.896651	38.4758	2	3	nan	nan
0.894503	37.2193	2	3	nan	nan
0.892575	36.0589	2	3	nan	nan
0.890451	34.8535	2	3	nan	nan
0.88819	33.7672	2	3	nan	nan
0.886428	32.8523	2	3	nan	nan
0.883936	31.7958	2	3	nan	nan
0.882347	31.1155	2	3	nan	nan
0.879838	30.1065	2	3	nan	nan
0.878095	29.4067	2	3	nan	nan
0.875834	28.5798	2	3	nan	nan
0.873887	27.9492	2	3	nan	nan
0.871899	27.3756	2	3	nan	nan
0.869892	26.8667	2	3	nan	nan
0.85978	25.0392	2	3	nan	nan
0.849608	24.0017	2	3	nan	nan
0.83953	23.2295	2	3	nan	nan
0.828361	22.4429	2	3	nan	nan
0.819723	21.9016	2	3	nan	nan
0.810068	21.3342	2	3	nan	nan
0.800223	20.8077	2	3	nan	nan
0.775193	19.6383	2	3	nan	nan
0.750131	18.6611	2	3	nan	nan
0.725505	17.8361	2	3	nan	nan
0.700507	17.0986	2	3	nan	nan
0.675516	16.4487	2	3	nan	nan
0.65045	15.8672	2	3	nan	nan
0.625396	15.3405	2	3	nan	nan
0.600406	14.8526	2	3	nan	nan
0.574824	14.3967	2	3	nan	nan
0.55054	13.9921	2	3	nan	nan
0.525496	13.5991	2	3	nan	nan
0.498948	13.2048	2	3	nan	nan
0.474204	12.8548	2	3	nan	nan
0.449813	12.5235	2	3	nan	nan
0.424958	12.1971	2	3	nan	nan
0.400104	11.8816	2	3	nan	nan
0.375142	11.5535	2	3	nan	nan
0.349669	11.2301	2	3	nan	nan
0.324372	10.9189	2	3	nan	nan
0.300273	10.616	2	3	nan	nan
0.274088	10.2866	2	3	nan	nan
0.249879	9.97731	2	3	nan	nan
0.224751	9.64466	2	3	nan	nan
0.199483	9.30407	2	3	nan	nan
0.136834	8.37766	2	3	nan	nan
0.0896365	7.54781	2	3	nan	nan
