# p_rel	p_abs	Q_cm3_per_g_STP	TIME
0.001030633478	0.1027384349	0.7411931959	nan
0.002023085459	0.2017092593	0.9000927265	nan
0.003070701614	0.3062148112	1.020392201	nan
0.004053870544	0.4043184591	1.113584656	nan
0.005050929126	0.5038232893	1.196175491	nan
0.006062360097	0.6047945597	1.2723142	nan
0.007092542298	0.7076353234	1.34050728	nan
0.008061107946	0.8043475157	1.399956666	nan
0.00902867411	0.9009661284	1.466333323	nan
0.01038670866	1.036568322	1.544370666	nan
0.03001525879	2.995740759	2.409043778	nan
0.04995693208	4.986617533	3.092285014	nan
0.07020854443	7.008797688	3.703550115	nan
0.1006966807	10.05337681	4.502439725	nan
0.12549036	12.53015937	5.061313108	nan
0.1503208813	15.01097094	5.559757459	nan
0.1752501287	17.50188707	6.013958913	nan
0.2002613521	20.00141558	6.434531209	nan
0.225270935	22.50120651	6.823174743	nan
0.2499421621	24.96762412	7.180338596	nan
0.2754588256	27.51853187	7.531658376	nan
0.300493579	30.02208226	7.865242462	nan
0.3259438357	32.56803843	8.193060216	nan
0.3743985861	37.41225584	8.819864555	nan
0.3993610921	39.91	9.145480921	nan
0.4247404845	42.44997341	9.481763169	nan
0.4747756126	47.45604481	10.16692827	nan
0.4995963332	49.94124953	10.53108028	nan
0.5245532766	52.43975069	10.91211712	nan
0.5493211514	54.92048394	11.31526266	nan
0.5744059855	57.43333126	11.73915589	nan
0.5990521611	59.90337609	12.17684994	nan
0.6250654589	62.5088387	12.69206607	nan
0.6500732422	65.0142322	13.23071837	nan
0.6748801502	67.49958746	13.81262121	nan
0.7	70.01696322	14.46703924	nan
0.7249948525	72.52168945	15.1998686	nan
0.7743280553	77.46260913	16.95900158	nan
0.7999481749	80.03189713	18.11635011	nan
0.8195336271	82.00331749	19.179445	nan
0.829087999	82.96492483	19.76676423	nan
0.8395418784	84.01762171	20.45933465	nan
0.8492375657	84.99460051	21.19196051	nan
0.8595074101	86.02919991	22.02294258	nan
0.861409615	86.22539964	22.19785759	nan
0.8633035162	86.42079377	22.3685498	nan
0.8651650904	86.61200531	22.5446524	nan
0.8670118513	86.8027286	22.72316998	nan
0.8690558566	87.01322566	22.91360915	nan
0.8709113715	87.20487661	23.103576	nan
0.8779907202	87.94244633	23.85153528	nan
0.8798957197	88.14271474	24.06004704	nan
0.8816316095	88.32608186	24.26684936	nan
0.8836933663	88.54213674	24.50506897	nan
0.8855169909	88.73437358	24.71627335	nan
0.8873291815	88.92550373	24.95865363	nan
0.8895207691	89.15310551	25.2408225	nan
0.8918298969	89.39412579	25.52339551	nan
0.8938321029	89.60442755	25.82400055	nan
0.896745107	89.90608738	26.24169686	nan
0.8989708322	90.13889707	26.56155914	nan
0.9012712219	90.37924194	26.91196255	nan
0.9036553397	90.62803339	27.30708941	nan
0.9060087299	90.87541707	27.72530618	nan
0.9083902453	91.12405391	28.2031448	nan
0.9109419004	91.39307481	28.76016522	nan
0.9131289513	91.62394781	29.32690253	nan
0.9155391304	91.87890737	30.09323854	nan
0.917787405	92.12030196	30.99993245	nan
0.9220874112	92.57854889	33.28343222	nan
0.9240229917	92.78859026	34.65079652	nan
0.9261236486	93.01685116	36.25769101	nan
0.9283106035	93.25385972	37.942862	nan
0.9310677227	93.55773291	40.48088538	nan
0.9418595821	94.75991297	52.70120428	nan
0.9440291678	95.00165747	55.940246	nan
0.946344684	95.25950579	59.56118223	nan
0.9482018031	95.4713211	63.13779969	nan
0.9490242608	95.56723609	64.80190128	nan
0.9501556125	95.70609189	67.6182035	nan
0.9507411268	95.77819698	69.16227154	nan
0.9513350094	95.85592498	70.87443316	nan
0.9535389164	96.12238262	78.0785535	nan
0.9546522888	96.26833419	82.14944489	nan
0.9561420718	96.46461529	87.27741029	nan
0.9565242129	96.51852526	88.94658498	nan
0.9574774932	96.64392188	93.03276298	nan
0.9597881969	96.93338382	102.545557	nan
0.9605317292	97.03950305	106.2747321	nan
0.9613199583	97.15018733	110.1871329	nan
0.9618533046	97.23367658	113.7849204	nan
0.962822242	97.36420786	118.0335304	nan
0.9633454324	97.43204084	119.5737649	nan
0.9655851041	97.70143607	127.6920088	nan
0.966931814	97.86591639	132.1211071	nan
0.9749737807	98.75724141	141.6226958	nan
0.979213891	99.19494152	142.3325728	nan
0.9856059388	99.84954279	142.7769485	nan
0.9921475946	100.5193935	142.9302651	nan
0.9972909653	101.0524389	143.0246486	nan
