# p_rel	p_abs	Q_cm3_per_g_STP	TIME
0.9995405306	101.2923525	143.4609276	nan
0.9914896808	100.4836135	142.9352994	nan
0.9870775368	100.0435536	142.855512	nan
0.9694007023	98.27981474	142.6263518	nan
0.9595568183	97.28871763	142.4902341	nan
0.9495132769	96.27609723	142.3124693	nan
0.9471326706	96.04152174	142.2587308	nan
0.9451477562	95.84703899	142.2039592	nan
0.9430091488	95.63694066	142.1467048	nan
0.940989426	95.43886933	142.0748279	nan
0.9389401455	95.23777092	141.9601152	nan
0.9370980111	95.05461536	141.7307276	nan
0.9362996563	94.97620383	141.4712273	nan
0.9357719518	94.92567086	140.9648707	nan
0.9302073988	94.44478582	102.8479742	nan
0.9291331383	94.35366373	95.53369455	nan
0.9279962265	94.25481116	87.94064171	nan
0.9274695678	94.20708558	85.58315592	nan
0.92665635	94.13312518	82.73258444	nan
0.9255259702	94.0298052	78.0730538	nan
0.9231234761	93.80746015	69.47873933	nan
0.9225428464	93.75485216	67.95677304	nan
0.9210876817	93.62496372	63.47576706	nan
0.920326304	93.55511268	61.53826236	nan
0.9182588448	93.35652057	57.58352694	nan
0.9160789133	93.14874952	54.10448766	nan
0.9140001244	92.94831837	50.93800401	nan
0.9117425814	92.72410987	48.17910966	nan
0.9107671492	92.62725095	47.01474228	nan
0.9079333676	92.34348516	44.09595285	nan
0.9066867246	92.21902433	42.87351226	nan
0.9022418599	91.77366698	39.29505505	nan
0.9003921416	91.58783423	38.01172328	nan
0.8983260488	91.37998181	36.7452951	nan
0.8962662999	91.17276411	35.51482141	nan
0.8941263436	90.9573765	34.31815033	nan
0.8921064798	90.75340559	33.21154628	nan
0.8901387379	90.55437406	32.17372191	nan
0.8880465041	90.34267267	31.22085998	nan
0.8863140717	90.1674429	30.41260905	nan
0.8839338256	89.92643077	29.40448806	nan
0.8739203703	88.91284201	25.69307481	nan
0.8721238533	88.73106167	25.14334719	nan
0.8699239012	88.50810632	24.51221846	nan
0.8399775347	85.46380031	20.46513297	nan
0.8298976362	84.43799739	19.75595188	nan
0.8207735172	83.50947653	19.17562013	nan
0.8106673669	82.4810127	18.58820325	nan
0.8005246355	81.44886264	18.05128258	nan
0.7755347282	78.90604545	16.89155594	nan
0.7500463867	76.31263833	15.895262	nan
0.7236763668	73.62935415	15.01197479	nan
0.6989410705	71.11248698	14.28294922	nan
0.6740338193	68.57816519	13.63510143	nan
0.6491214395	66.04333482	13.04737831	nan
0.6240574403	63.49306788	12.50910176	nan
0.5992181894	60.96572794	12.01958283	nan
0.5742315976	58.42338679	11.55984201	nan
0.5493607322	55.89281225	11.12905808	nan
0.5242186325	53.33469683	10.72601783	nan
0.4993732161	50.8067588	10.34383325	nan
0.4742001432	48.24558781	9.960312829	nan
0.4495824468	45.74095922	9.611134528	nan
0.423672496	43.10485541	9.260078615	nan
0.3994273115	40.63812655	8.940199872	nan
0.3739712934	38.04820629	8.605004519	nan
0.3497451843	35.58341818	8.289868202	nan
0.3246657171	33.03180858	7.968444698	nan
0.2990651931	30.42718616	7.629111374	nan
0.2746361521	27.94175156	7.30013137	nan
0.2498848472	25.42352952	6.957130391	nan
0.2248950788	22.88104596	6.59088776	nan
0.1995572527	20.30315068	6.195322913	nan
0.1496273542	15.22323381	5.311587878	nan
0.09979967139	10.15371648	4.238616724	nan
