p_rel	p_abs_kPA	Q_cm3_per_g_STP
0.000999199	0.102034657	0.500205956
0.002006638	0.20491393	0.609757986
0.003039839	0.310426845	0.679489621
0.00402815	0.411357238	0.728621145
0.00501822	0.512467892	0.768027231
0.006022616	0.615042158	0.801469068
0.007069471	0.7219132	0.829523589
0.008500582	0.867994589	0.862714327
0.009020442	0.921030236	0.874791846
0.010359358	1.057685708	0.901490906
0.030225381	3.085786679	1.124812418
0.050527038	5.158082252	1.248643845
0.070076752	7.153412192	1.335756068
0.100520083	10.26042363	1.444024719
0.125350337	12.79416564	1.517720187
0.149992034	15.3084909	1.581826456
0.175073916	17.86748209	1.641815156
0.20025373	20.4363795	1.698570279
0.225517805	23.01345901	1.751432977
0.251039537	25.61656585	1.802816928
0.276381501	28.20106257	1.852145616
0.300592472	30.66989697	1.898617409
0.325612494	33.2210224	1.945046226
0.375140781	38.27224391	2.037181935
0.400592588	40.86676584	2.084663259
0.425939064	43.44983445	2.131127096
0.474865298	48.43857735	2.225878432
0.499881475	50.98842115	2.277592006
0.525457154	53.5947341	2.332538722
0.550557086	56.15228804	2.388578577
0.575524135	58.6960573	2.447005636
0.600340484	61.22376342	2.509366633
0.62555632	63.79290495	2.577637027
0.650600597	66.34385542	2.650900755
0.675699658	68.90016027	2.730291862
0.700706946	71.44687525	2.817557473
0.725671891	73.98904145	2.912792375
0.775209618	79.03568977	3.138377482
0.801087845	81.6697511	3.281613089
0.821129893	83.70920787	3.410599698
0.840963798	85.72661242	3.558465776
0.860712822	87.73581451	3.729967437
0.880604863	89.75805265	3.939946856
0.900775477	91.80843789	4.209421714
0.920616595	93.82815344	4.564734929
0.939226587	95.72260258	5.046546172
0.950512646	96.87075875	5.470272289
0.952478605	97.06966008	5.561355618
0.953314573	97.15360502	5.609434234
0.95444563	97.26782905	5.661900186
0.954764139	97.2990358	5.688027462
0.956546232	97.4793921	5.763537013
0.958182324	97.64486519	5.854007113
0.95943419	97.77096975	5.933343265
0.960457887	97.87402934	5.994440269
0.961295484	97.95833232	6.044995619
0.962387106	98.06830865	6.104839994
0.963092012	98.13887578	6.161282442
0.964474121	98.2782361	6.257100343
0.965014725	98.33205655	6.31387769
0.966812172	98.51373111	6.441304803
0.967890365	98.62211252	6.541774508
0.968455964	98.68106765	6.604286012
0.969276035	98.76608671	6.673087536
0.96970655	98.81170472	6.730138131
0.970952797	98.94103168	6.846731763
0.971608845	99.00934476	6.914564978
0.972959525	99.14932352	7.062993672
0.974030506	99.26080526	7.175685246
0.974738447	99.3347087	7.268858264
0.976033546	99.46933308	7.439174755
0.976769838	99.54642637	7.552432058
0.977922233	99.66622449	7.714822833
0.978641354	99.74186932	7.834482608
0.979686586	99.85075525	8.012717132
0.980717297	99.95846126	8.183845357
0.981588865	100.0496566	8.34855123
0.982469148	100.14204	8.52887343
0.983335493	100.2330074	8.714855068
0.984231586	100.3250653	8.917028884
0.985245015	100.4285236	9.149880492
0.986178205	100.5237876	9.383037838
0.987015362	100.6092787	9.620109934
0.988517378	100.7626515	10.08849172
0.989041194	100.8162034	10.3091398
0.990257811	100.9405015	10.78885762
0.991205231	101.0373441	11.24818872
0.992033062	101.121997	11.71971337
0.993270987	101.2527399	12.4615179
0.994011974	101.3322011	12.93317141
0.994880471	101.4271234	13.68011058
0.995816334	101.5284334	14.43064029
0.996810544	101.640379	15.6061887
0.997999107	101.7745233	16.67262725
