# p_rel	p_abs_kPA	Q_cm3_per_g_STP	time
0.997269761	100.9629443	14.55010261	nan
0.996177042	100.8461733	14.30027971	nan
0.9952371	100.7455631	14.01376269	nan
0.993789986	100.5854525	13.23862518	nan
0.992439394	100.4405913	12.5990758	nan
0.980440301	99.19597496	8.054112433	nan
0.967549114	97.86406108	6.237966934	nan
0.960404119	97.12569389	5.673728128	nan
0.932204259	94.24239356	4.473860221	nan
0.92114651	93.11647678	4.197277804	nan
0.911500934	92.13448537	3.998896713	nan
0.901224797	91.08890868	3.82348578	nan
0.876962346	88.62901112	3.493243036	nan
0.851204987	86.0193944	3.233583077	nan
0.827075218	83.57553557	3.038937817	nan
0.801734908	81.0088027	2.866092861	nan
0.776464456	78.45373879	2.719314513	nan
0.75048066	75.82834374	2.589385845	nan
0.72554915	73.30927135	2.478001265	nan
0.57539529	58.13776975	1.984695506	nan
0.550430035	55.61528781	1.919520256	nan
0.525337372	53.07993257	1.857130215	nan
0.500194092	50.53946301	1.797671252	nan
0.450015869	45.46950524	1.686055113	nan
0.399797548	40.39542591	1.578853008	nan
0.349900824	35.35387565	1.474293716	nan
0.299887443	30.30053843	1.367009306	nan
0.249978718	25.2577757	1.252814504	nan
0.200141269	20.22221453	1.125106077	nan
0.150182451	15.17439036	0.9770496154	nan
0.099944666	10.09837943	0.7948687355	nan
