p_rel	p_abs_kPA	Q_cm3_per_g_STP
0.995486229	101.113583	161.4906996
0.988131527	100.3658335	161.3716954
0.983107753	99.85484834	161.2836157
0.980226765	99.56151302	161.2285821
0.975247648	99.05507669	161.1124917
0.970363959	98.55834008	160.9515695
0.959849773	97.48892094	160.2638705
0.950272661	96.51378932	158.6936575
0.948889734	96.36667411	150.9845252
0.946947988	96.15843923	126.569788
0.944158484	95.86126308	95.45285145
0.942420222	95.67617084	85.21389644
0.941164265	95.52551587	77.66988046
0.938601098	95.254127	69.54382327
0.937030899	95.07999577	64.3110716
0.935646364	94.93386518	61.31290569
0.934937014	94.85844005	59.84846129
0.933678026	94.72918632	57.55360001
0.932479252	94.60610885	55.66250328
0.931923914	94.54900904	54.76049934
0.930481414	94.40121029	52.71323071
0.929965772	94.34820357	51.84888395
0.928496179	94.19766253	49.64704887
0.92762666	94.10743555	48.8105406
0.926613606	94.00140584	47.54311849
0.925636557	93.900405	46.68720643
0.924953142	93.82919502	45.99099343
0.923322066	93.65997876	44.41204304
0.922486146	93.57347869	43.749808
0.921833985	93.5056213	43.12067962
0.92087606	93.40658157	42.42127747
0.919060987	93.21958518	41.00875153
0.915960065	92.90245624	39.07854246
0.914776477	92.78138056	38.36246226
0.912243834	92.52235232	36.78609344
0.910294052	92.3224501	35.37120744
0.908584199	92.147912	34.47727353
0.906921082	91.97811798	33.71409197
0.904315461	91.71192887	32.4289735
0.902725253	91.54953985	31.66403157
0.900167831	91.27991678	30.33251502
0.898399865	91.09585798	29.61575041
0.896537654	90.9022622	28.96483395
0.894764175	90.71768261	28.25783748
0.892587694	90.49178968	27.49189961
0.890636117	90.28872202	26.83708713
0.88847711	90.06559579	26.22051483
0.886530071	89.86397658	25.76073742
0.88490654	89.69516718	25.36359446
0.882211618	89.41778107	24.84731492
0.880978263	89.28995952	24.63585581
0.878541246	89.03968708	24.29458525
0.876919486	88.87111366	24.09035752
0.874324086	88.60427357	23.79071647
0.872152232	88.38091949	23.5755701
0.870321426	88.19214102	23.42396703
0.859387476	87.07721781	22.48983103
0.849740448	86.09497414	21.79358394
0.840893182	85.19438881	21.19940328
0.830458124	84.13303379	20.56893121
0.820699912	83.1403499	20.03284337
0.810725695	82.12638683	19.5340478
0.800790807	81.11599605	19.0726108
0.775400325	78.53972621	18.0462832
0.750770331	76.04123318	17.20705902
0.725873614	73.51642396	16.47892057
0.70107709	71.0015423	15.83878373
0.675963407	68.45520978	15.26312836
0.650885533	65.91388987	14.73916601
0.625334763	63.32570693	14.26273152
0.600496257	60.80959654	13.83522701
0.575413634	58.26893982	13.43398249
0.550407454	55.73597696	13.05935769
0.525329652	53.19592648	12.70474497
0.500367417	50.66754088	12.37508959
0.474187534	48.01574419	12.03745885
0.449710775	45.5367442	11.73942939
0.424197486	42.95252415	11.43699938
0.400430752	40.54554788	11.16003906
0.374732854	37.94308796	10.86823161
0.349790836	35.41722088	10.58786425
0.324789673	32.88542166	10.30477584
0.299768	30.35160235	10.02482889
0.274975826	27.84107622	9.739830091
0.249835597	25.2953662	9.444396266
0.224919565	22.77241229	9.14980842
0.20021415	20.27098982	8.828797636
0.150059509	15.19301982	8.164749487
0.099647841	10.08899909	7.378171612
