# p_rel	Q_cm3_per_g_STP	TOLERANCE	EQUILIBRATION	TIME	DUMMY
0.0010111	2.65398	2	3	nan	nan
0.00200203	3.23792	2	3	nan	nan
0.00302986	3.61766	2	3	nan	nan
0.00399987	3.88136	2	3	nan	nan
0.00499537	4.09937	2	3	nan	nan
0.00601338	4.28536	2	3	nan	nan
0.0070572	4.43862	2	3	nan	nan
0.00815846	4.59038	2	3	nan	nan
0.00906601	4.70407	2	3	nan	nan
0.0100866	4.81571	2	3	nan	nan
0.0306554	6.09873	2	3	nan	nan
0.0504747	6.76355	2	3	nan	nan
0.0706231	7.27407	2	3	nan	nan
0.100389	7.88119	2	3	nan	nan
0.125059	8.31296	2	3	nan	nan
0.150348	8.71547	2	3	nan	nan
0.174805	9.07835	2	3	nan	nan
0.199794	9.42869	2	3	nan	nan
0.225525	9.77438	2	3	nan	nan
0.249962	10.0912	2	3	nan	nan
0.27555	10.4113	2	3	nan	nan
0.30042	10.722	2	3	nan	nan
0.325493	11.0335	2	3	nan	nan
0.374938	11.6447	2	3	nan	nan
0.39951	11.9325	2	3	nan	nan
0.425034	12.2571	2	3	nan	nan
0.475341	12.9274	2	3	nan	nan
0.500076	13.2711	2	3	nan	nan
0.525336	13.6403	2	3	nan	nan
0.550184	14.0271	2	3	nan	nan
0.575284	14.4437	2	3	nan	nan
0.600414	14.8881	2	3	nan	nan
0.625343	15.365	2	3	nan	nan
0.650399	15.886	2	3	nan	nan
0.675197	16.4588	2	3	nan	nan
0.700331	17.0999	2	3	nan	nan
0.72534	17.8182	2	3	nan	nan
0.774549	19.5756	2	3	nan	nan
0.80066	20.7565	2	3	nan	nan
0.810897	21.2944	2	3	nan	nan
0.820506	21.8408	2	3	nan	nan
0.830211	22.4491	2	3	nan	nan
0.840428	23.1267	2	3	nan	nan
0.850283	23.8477	2	3	nan	nan
0.859941	24.6653	2	3	nan	nan
0.862368	24.89	2	3	nan	nan
0.864235	25.0584	2	3	nan	nan
0.866029	25.2493	2	3	nan	nan
0.868263	25.4588	2	3	nan	nan
0.869883	25.6125	2	3	nan	nan
0.872024	25.8188	2	3	nan	nan
0.873881	26.0181	2	3	nan	nan
0.876039	26.2484	2	3	nan	nan
0.877926	26.4526	2	3	nan	nan
0.879899	26.6692	2	3	nan	nan
0.881912	26.8862	2	3	nan	nan
0.883604	27.1214	2	3	nan	nan
0.886167	27.423	2	3	nan	nan
0.887623	27.5992	2	3	nan	nan
0.889716	27.8633	2	3	nan	nan
0.892097	28.1814	2	3	nan	nan
0.894745	28.5216	2	3	nan	nan
0.89688	28.8319	2	3	nan	nan
0.899583	29.2384	2	3	nan	nan
0.9026	29.7235	2	3	nan	nan
0.905302	30.1384	2	3	nan	nan
0.907474	30.5195	2	3	nan	nan
0.910129	31.0242	2	3	nan	nan
0.912615	31.5235	2	3	nan	nan
0.914855	32.0636	2	3	nan	nan
0.917619	32.8035	2	3	nan	nan
0.919845	33.5432	2	3	nan	nan
0.922281	34.6201	2	3	nan	nan
0.924553	35.9074	2	3	nan	nan
0.9267	37.3768	2	3	nan	nan
0.929414	39.9333	2	3	nan	nan
0.932147	42.6955	2	3	nan	nan
0.934723	45.5096	2	3	nan	nan
0.936853	48.3058	2	3	nan	nan
0.93944	51.6798	2	3	nan	nan
0.941716	54.7037	2	3	nan	nan
0.944015	57.8456	2	3	nan	nan
0.946983	62.9278	2	3	nan	nan
0.949104	67.02	2	3	nan	nan
0.949873	68.7011	2	3	nan	nan
0.951148	71.9273	2	3	nan	nan
0.95171	73.6622	2	3	nan	nan
0.953052	77.4628	2	3	nan	nan
0.953951	80.9414	2	3	nan	nan
0.955066	85.1639	2	3	nan	nan
0.956114	88.942	2	3	nan	nan
0.956736	90.8253	2	3	nan	nan
0.957627	95.9665	2	3	nan	nan
0.95936	103.805	2	3	nan	nan
0.959947	105.759	2	3	nan	nan
0.961223	112.621	2	3	nan	nan
0.96226	117.48	2	3	nan	nan
0.96292	121.099	2	3	nan	nan
0.963996	125.39	2	3	nan	nan
0.964382	127.024	2	3	nan	nan
0.965256	131.229	2	3	nan	nan
0.96633	135.619	2	3	nan	nan
0.96817	141.517	2	3	nan	nan
0.969112	143.217	2	3	nan	nan
0.972241	146.199	2	3	nan	nan
0.975043	147.586	2	3	nan	nan
0.978069	148.02	2	3	nan	nan
0.981318	148.275	2	3	nan	nan
0.984485	148.397	2	3	nan	nan
0.991887	148.53	2	3	nan	nan
0.997216	148.614	2	3	nan	nan
0.998651	148.642	2	3	nan	nan
